,tas_anom,model,period,region,co2_exp,period_idx,tas_obs,mae,median_mae,nmae
30,0.42187825943197765,ACCESS-ESM1-5,lig127k,global,,2,1.021866349731268,0.5999880902992905,1.1134304173131064,0.5388644687354257
31,0.19085761370499163,HadGEM3-GC31-LL,lig127k,global,,2,1.021866349731268,0.8310087360262765,1.1134304173131064,0.7463499497630389
32,-0.00841239288537852,CESM2,lig127k,global,,2,1.021866349731268,1.0302787426166466,1.1134304173131064,0.9253193792773161
33,-0.17621756875689035,INM-CM4-8,lig127k,global,,2,1.021866349731268,1.1980839184881584,1.1134304173131064,1.076029449042119
34,-0.09916953325631674,GISS-E2-1-G,lig127k,global,,2,1.021866349731268,1.1210358829875848,1.1134304173131064,1.0068306609521516
35,-0.14767299592494965,IPSL-CM6A-LR,lig127k,global,,2,1.021866349731268,1.1695393456562178,1.1134304173131064,1.0503928467110784
36,0.3972713945108555,EC-Earth3-LR,lig127k,global,,2,1.021866349731268,0.6245949552204126,1.1134304173131064,0.5609645160652829
37,-0.2795320886898197,NorESM1-F,lig127k,global,,2,1.021866349731268,1.3013984384210877,1.1134304173131064,1.168818830692249
38,-0.2533095318982252,AWI-ESM-1-1-LR,lig127k,global,,2,1.021866349731268,1.2751758816294934,1.1134304173131064,1.1452676896565352
39,-0.4174516260754081,FGOALS-f3-L,lig127k,global,,2,1.021866349731268,1.4393179758066763,1.1134304173131064,1.292687853166425
40,0.29709650518131064,FGOALS-g3,lig127k,global,,2,1.021866349731268,0.7247698445499575,1.1134304173131064,0.6509341161156242
41,-0.2155279980244874,NorESM2-LM,midHolocene,global,,4,0.4391452517104131,0.6546732497349005,0.7382219499988172,0.8868244160661295
42,-0.28214551193461695,ACCESS-ESM1-5,midHolocene,global,,4,0.4391452517104131,0.7212907636450301,0.7382219499988172,0.9770649106900516
43,-0.41519021691066454,HadGEM3-GC31-LL,midHolocene,global,,4,0.4391452517104131,0.8543354686210776,0.7382219499988172,1.1572880874409741
44,-0.1254578865777568,CESM2,midHolocene,global,,4,0.4391452517104131,0.5646031382881699,0.7382219499988172,0.7648148883802148
45,-0.2990766982884041,INM-CM4-8,midHolocene,global,,4,0.4391452517104131,0.7382219499988172,0.7382219499988172,1.0
46,-0.3610226017895117,MPI-ESM1-2-LR,midHolocene,global,,4,0.4391452517104131,0.8001678534999248,0.7382219499988172,1.083912302392535
47,-0.3801083928910774,GISS-E2-1-G,midHolocene,global,,4,0.4391452517104131,0.8192536446014904,0.7382219499988172,1.109766032563517
48,-0.17813117662517286,MRI-ESM2-0,midHolocene,global,,4,0.4391452517104131,0.6172764283355859,0.7382219499988172,0.8361664514805811
49,-0.41533127427101135,IPSL-CM6A-LR,midHolocene,global,,4,0.4391452517104131,0.8544765259814244,0.7382219499988172,1.1574791646100384
50,-0.05173888680224167,EC-Earth3-LR,midHolocene,global,,4,0.4391452517104131,0.4908841385126547,0.7382219499988172,0.6649546772666963
51,-0.3614389523586949,NorESM1-F,midHolocene,global,,4,0.4391452517104131,0.800584204069108,0.7382219499988172,1.0844762934377536
52,-0.4388560033555272,AWI-ESM-1-1-LR,midHolocene,global,,4,0.4391452517104131,0.8780012550659403,0.7382219499988172,1.1893459075110773
53,-0.3660633424147747,FGOALS-f3-L,midHolocene,global,,4,0.4391452517104131,0.8052085941251877,0.7382219499988172,1.0907405206882266
54,-0.2227077611887496,FGOALS-g3,midHolocene,global,,4,0.4391452517104131,0.6618530128991627,0.7382219499988172,0.8965501674668751
55,-0.25569366258486903,NESM3,midHolocene,global,,4,0.4391452517104131,0.6948389142952821,0.7382219499988172,0.941233072650299
56,4.882401268020299,HadGEM3-GC31-LL,midPliocene-eoi400,global,,1,3.25,1.632401268020299,1.5528428218211912,1.0512340625085292
57,5.02916099357368,CESM2,midPliocene-eoi400,global,,1,3.25,1.7791609935736803,1.5528428218211912,1.14574441699583
58,2.10049827033837,GISS-E2-1-G,midPliocene-eoi400,global,,1,3.25,1.1495017296616301,1.5528428218211912,0.7402563308458237
59,3.211859703063965,IPSL-CM6A-LR,midPliocene-eoi400,global,,1,3.25,0.038140296936035156,1.5528428218211912,0.024561595288378122
60,4.833650160815991,EC-Earth3-LR,midPliocene-eoi400,global,,1,3.25,1.5836501608159912,1.5528428218211912,1.0198393157130152
61,1.7279645171736087,NorESM1-F,midPliocene-eoi400,global,,1,3.25,1.5220354828263913,1.5528428218211912,0.9801606842869849
