,tas_anom,model,period,region,co2_exp,Time Period idx,tas_obs,mae
28,0.42187825943197765,ACCESS-ESM1-5,lig127k,global,,2,1.021866349731268,0.5999880902992905
29,-0.28214551193461695,ACCESS-ESM1-5,midHolocene,global,,4,0.4391452517104131,0.7212907636450301
30,0.19085761370499163,HadGEM3-GC31-LL,lig127k,global,,2,1.021866349731268,0.8310087360262765
31,4.882401268020299,HadGEM3-GC31-LL,midPliocene-eoi400,global,,1,3.25,1.632401268020299
32,-0.41519021691066454,HadGEM3-GC31-LL,midHolocene,global,,4,0.4391452517104131,0.8543354686210776
33,-0.00841239288537852,CESM2,lig127k,global,,2,1.021866349731268,1.0302787426166466
34,5.02916099357368,CESM2,midPliocene-eoi400,global,,1,3.25,1.7791609935736803
35,-0.1254578865777568,CESM2,midHolocene,global,,4,0.4391452517104131,0.5646031382881699
36,-0.17621756875689035,INM-CM4-8,lig127k,global,,2,1.021866349731268,1.1980839184881584
37,-3.7173316548228437,INM-CM4-8,lgm,global,,3,-6.0,2.2826683451771563
38,-0.2990766982884041,INM-CM4-8,midHolocene,global,,4,0.4391452517104131,0.7382219499988172
39,-3.9061244384590363,MPI-ESM1-2-LR,lgm,global,,3,-6.0,2.0938755615409637
40,-0.3610226017895117,MPI-ESM1-2-LR,midHolocene,global,,4,0.4391452517104131,0.8001678534999248
41,-0.09916953325631674,GISS-E2-1-G,lig127k,global,,2,1.021866349731268,1.1210358829875848
42,2.10049827033837,GISS-E2-1-G,midPliocene-eoi400,global,,1,3.25,1.1495017296616301
43,-0.3801083928910774,GISS-E2-1-G,midHolocene,global,,4,0.4391452517104131,0.8192536446014904
44,-0.17813117662517286,MRI-ESM2-0,midHolocene,global,,4,0.4391452517104131,0.6172764283355859
45,-0.14767299592494965,IPSL-CM6A-LR,lig127k,global,,2,1.021866349731268,1.1695393456562178
46,3.211859703063965,IPSL-CM6A-LR,midPliocene-eoi400,global,,1,3.25,0.038140296936035156
47,-0.41533127427101135,IPSL-CM6A-LR,midHolocene,global,,4,0.4391452517104131,0.8544765259814244
48,-6.67214990088049,CESM2-FV2,lgm,global,,3,-6.0,0.6721499008804903
49,0.3972713945108555,EC-Earth3-LR,lig127k,global,,2,1.021866349731268,0.6245949552204126
50,4.833650160815991,EC-Earth3-LR,midPliocene-eoi400,global,,1,3.25,1.5836501608159912
51,-0.05173888680224167,EC-Earth3-LR,midHolocene,global,,4,0.4391452517104131,0.4908841385126547
52,-0.2795320886898197,NorESM1-F,lig127k,global,,2,1.021866349731268,1.3013984384210877
53,1.7279645171736087,NorESM1-F,midPliocene-eoi400,global,,1,3.25,1.5220354828263913
54,-0.3614389523586949,NorESM1-F,midHolocene,global,,4,0.4391452517104131,0.800584204069108
55,-0.2533095318982252,AWI-ESM-1-1-LR,lig127k,global,,2,1.021866349731268,1.2751758816294934
56,-0.4388560033555272,AWI-ESM-1-1-LR,midHolocene,global,,4,0.4391452517104131,0.8780012550659403
57,-0.4174516260754081,FGOALS-f3-L,lig127k,global,,2,1.021866349731268,1.4393179758066763
58,-0.3660633424147747,FGOALS-f3-L,midHolocene,global,,4,0.4391452517104131,0.8052085941251877
59,0.29709650518131064,FGOALS-g3,lig127k,global,,2,1.021866349731268,0.7247698445499575
60,-0.2227077611887496,FGOALS-g3,midHolocene,global,,4,0.4391452517104131,0.6618530128991627
61,-0.25569366258486903,NESM3,midHolocene,global,,4,0.4391452517104131,0.6948389142952821
